ims_farmer,ims_other,ims_public_em,ims_stable_ag,ims_stable_non_ag,ims_casual_ag,ims_casual_non_ag,ims_prof_self_em,ims_no_income,shocks_conflict,shocks_naturalhazard,shocks_lostwork,shocks_foodprices,shocks_cantworkbusiness,shocks_accesseconomy,no_accessmarket,edu_higher,edu_secondary,edu_primary,edu_low,rural,children_0_4,hoh_female,fies_ateless,fies_fewfoods,fies_healthy,fies_hungry,fies_worried,fies_ranout,fies_whlday,fies_skipped,fcs_stap,fcs_pulse,fcs_dairy,fcs_pr,fcs_veg,fcs_fruit,fcs_fat,fcs_sugar,fcs_borderline_poor,cs_stress_hh_assets,cs_stress_spent_savings,cs_stress_credit,cs_stress_borrowed_money,cs_crisis_sold_prod_assets,cs_crisis_no_school,cs_crisis_reduced_health_exp,cs_crisis_childwork,cs_crisis_consumed_seed_stocks,cs_emergency_sold_house,cs_emergency_hh_risk,cs_emergency_sold_last_draught,cs_emergency_hh_migration,hh_debt_more,survey_id,agri_hhd,hh_size,not_improved_drinking_water,tot_income,income_reduced,covid_goodstransp,covid_marketclosed
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0.8571428571428571,0,0.5714285714285714,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,U-6755294592621044879,0,2,0,430000,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0.5714285714285714,1,0.42857142857142855,0.7142857142857143,1,0,0.8571428571428571,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,U-6777803232506066179,0,7,0,120000,0.3333333333333333,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8571428571428571,0.5714285714285714,0,0.8571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U-6787901651291788225,0,1,0,104000,0.3333333333333333,0,0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0.42857142857142855,1,0.2857142857142857,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,U-6807228872199349119,0,5,0,300000,0.3333333333333333,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7142857142857143,0.8571428571428571,0.14285714285714285,0,0,0,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U-6855731085306553357,0,1,1,400000,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7142857142857143,1,0.5714285714285714,0.2857142857142857,0.42857142857142855,0,0.7142857142857143,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,U-6871092127424070338,0,3,0,340000,0.6666666666666666,0,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5714285714285714,0.7142857142857143,0.14285714285714285,0,0,0,0.7142857142857143,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,U-6904262175591867922,0,4,0,400000,1,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0.7142857142857143,0.8571428571428571,0.7142857142857143,0,0.8571428571428571,0.2857142857142857,0.5714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,U-6971009907660241515,0,9,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0.8571428571428571,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,U-6998855331855522077,0,3,0,400000,0.6666666666666666,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7142857142857143,0,0.7142857142857143,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,U-7330805651013439425,0,4,0,500000,0,0,0
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.5714285714285714,0.42857142857142855,0.7142857142857143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,U-742593783860062793,0,6,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0.5714285714285714,1,0.2857142857142857,0,0.42857142857142855,0,0.5714285714285714,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,U-7482984264037628818,0,2,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,U-7707621109672809562,0,3,0,320000,0.3333333333333333,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7142857142857143,1,0,0,0.5714285714285714,0.42857142857142855,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,U-7798613529008998090,0,2,0,100000,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.2857142857142857,0.5714285714285714,0.5714285714285714,0,1,0,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U-7965146352796971263,0,8,0,700000,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7142857142857143,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,U-8036319317509516194,0,3,0,41000,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8571428571428571,1,0.5714285714285714,0,0.8571428571428571,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,U-8130853596981905784,0,3,0,100000,0.3333333333333333,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7142857142857143,1,0.7142857142857143,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U-8131967464451430362,0,6,0,800000,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.8571428571428571,1,0.42857142857142855,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,U-8137884340287353807,0,3,0,200000,0.6666666666666666,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U-8657871139014411128,0,5,0,250000,0,0,0
