District, Township ,Township Pcode,"internally displaced
people (IDP) -PiN","IDPs: returnees/resettled/
locally integrated -PiN","non-displaced stateless
people in Rakhine -PiN","Mostly vulnerable
crisis-affected people -PiN",Total PiN,Non-IDP,Female %,Children (Age <18) %,Adults (Age 18 -60) %,Elderly (Age 60+) %,People with disabilities %,"internally displaced
people (IDP) -target","IDPs: returnees/resettled/
locally integrated -target","non-displaced stateless
people in Rakhine -target","Mostly vulnerable
crisis-affected people -target",Total target,IDP Target > Total Target,Female % ,Children (Age <18) % ,Adults (Age 18 -60) % ,Elderly (Age 60+) % ,"Mostly vulnerable
crisis-affected people -target2",%IDP,%Returnees,%Rakhine Stateless,%Other Vulnerable,%Target,SO1 Target,SO2 Target,SO3 Target,IDP_SO1,Returnees_SO1,Rakhine Stateless_SO1,Other Vulnerable_SO1,IDP_SO2,Returnees_SO2,Rakhine Stateless_SO2,Other Vulnerable_SO2,IDP_SO3,Returnees_SO3,Rakhine Stateless_SO3,Other Vulnerable_SO3
Taungoo,Oktwin,MMR007013,0,0,0,38084.77196,38084.77196,38084.77196,52,36,54,11,13,0,,,,3808,Not,52,36,54,11,13,,0,0,100,0.00092878,516.4019512,2734.329756,789.4634146,0,0,0,516.4019512,0,0,0,2734.329756,0,0,0,789.4634146
Taungoo,Phyu,MMR007012,0,0,0,61304.54949,61304.54949,61304.54949,52,36,54,11,13,0,,,,6130,Not,52,36,54,11,13,,0,0,100,0.001495122,831.2878049,4401.639024,1270.853659,0,0,0,831.2878049,0,0,0,4401.639024,0,0,0,1270.853659
Taungoo,Taungoo,MMR007009,0,0,0,62444.27134,62444.27134,62444.27134,52,36,54,11,13,0,,,,6244,Not,52,36,54,11,13,,0,0,100,0.001522927,846.7473171,4483.496585,1294.487805,0,0,0,846.7473171,0,0,0,4483.496585,0,0,0,1294.487805
Taungoo,Yedashe,MMR007010,0,0,0,50896.21779,50896.21779,50896.21779,52,36,54,11,13,0,,,,5090,Not,52,36,54,11,13,,0,0,100,0.001241463,690.2536585,3654.868293,1055.243902,0,0,0,690.2536585,0,0,0,3654.868293,0,0,0,1055.243902
Pyay,Padaung,MMR008003,0,0,0,34364.17463,34364.17463,34364.17463,52,36,54,11,13,0,,,,3436,Not,52,36,54,11,13,,0,0,100,0.000838049,465.955122,2467.21561,712.3414634,0,0,0,465.955122,0,0,0,2467.21561,0,0,0,712.3414634
Pyay,Paukkhaung,MMR008002,0,0,0,29751.43459,29751.43459,29751.43459,52,36,54,11,13,0,,,,2975,Not,52,36,54,11,13,,0,0,100,0.00072561,403.4390244,2136.195122,616.7682927,0,0,0,403.4390244,0,0,0,2136.195122,0,0,0,616.7682927
Pyay,Paungde,MMR008004,0,0,0,32778.85799,32778.85799,32778.85799,52,36,54,11,13,0,,,,3278,Not,52,36,54,11,13,,0,0,100,0.000799512,444.5287805,2353.763902,679.5853659,0,0,0,444.5287805,0,0,0,2353.763902,0,0,0,679.5853659
Pyay,Pyay,MMR008001,0,0,0,59962.99941,59962.99941,59962.99941,52,36,54,11,13,0,,,,5996,Not,52,36,54,11,13,,0,0,100,0.001462439,813.1160976,4305.420488,1243.073171,0,0,0,813.1160976,0,0,0,4305.420488,0,0,0,1243.073171
Pyay,Shwedaung,MMR008006,0,0,0,28992.49374,28992.49374,28992.49374,52,36,54,11,13,0,,,,2899,Not,52,36,54,11,13,,0,0,100,0.000707073,393.1326829,2081.623415,601.0121951,0,0,0,393.1326829,0,0,0,2081.623415,0,0,0,601.0121951
Pyay,Thegon,MMR008005,0,0,0,31205.21737,31205.21737,31205.21737,52,36,54,11,13,0,,,,3121,Not,52,36,54,11,13,,0,0,100,0.00076122,423.2380488,2241.030244,647.0365854,0,0,0,423.2380488,0,0,0,2241.030244,0,0,0,647.0365854
Thayarwady,Gyobingauk,MMR008014,0,0,0,27982.63774,27982.63774,27982.63774,52,36,54,11,13,0,,,,2798,Not,52,36,54,11,13,,0,0,100,0.000682439,379.4360976,2009.100488,580.0731707,0,0,0,379.4360976,0,0,0,2009.100488,0,0,0,580.0731707
Thayarwady,Letpadan,MMR008008,0,0,0,42273.60124,42273.60124,42273.60124,52,36,54,11,13,0,,,,4227,Not,52,36,54,11,13,,0,0,100,0.001030976,573.222439,3035.192195,876.3292683,0,0,0,573.222439,0,0,0,3035.192195,0,0,0,876.3292683
Thayarwady,Minhla,MMR008009,0,0,0,29187.88824,29187.88824,29187.88824,52,36,54,11,13,0,,,,2919,Not,52,36,54,11,13,,0,0,100,0.000711951,395.844878,2095.98439,605.1585366,0,0,0,395.844878,0,0,0,2095.98439,0,0,0,605.1585366
Thayarwady,Monyo,MMR008013,0,0,0,30398.14275,30398.14275,30398.14275,52,36,54,11,13,0,,,,3040,Not,52,36,54,11,13,,0,0,100,0.000741463,412.2536585,2182.868293,630.2439024,0,0,0,412.2536585,0,0,0,2182.868293,0,0,0,630.2439024
Thayarwady,Nattalin,MMR008012,0,0,0,41018.78726,41018.78726,41018.78726,52,36,54,11,13,0,,,,4102,Not,52,36,54,11,13,,0,0,100,0.001000488,556.2712195,2945.436098,850.4146341,0,0,0,556.2712195,0,0,0,2945.436098,0,0,0,850.4146341
Thayarwady,Okpho,MMR008010,0,0,0,30181.77907,30181.77907,30181.77907,52,36,54,11,13,0,,,,3018,Not,52,36,54,11,13,,0,0,100,0.000736098,409.2702439,2167.07122,625.6829268,0,0,0,409.2702439,0,0,0,2167.07122,0,0,0,625.6829268
Thayarwady,Thayarwady,MMR008007,0,0,0,36005.96505,36005.96505,36005.96505,52,36,54,11,13,0,,,,3601,Not,52,36,54,11,13,,0,0,100,0.000878293,488.3307317,2585.693659,746.5487805,0,0,0,488.3307317,0,0,0,2585.693659,0,0,0,746.5487805
Thayarwady,Zigon,MMR008011,0,0,0,16089.78437,16089.78437,16089.78437,52,36,54,11,13,0,,,,1609,Not,52,36,54,11,13,,0,0,100,0.000392439,218.1960976,1155.340488,333.5731707,0,0,0,218.1960976,0,0,0,1155.340488,0,0,0,333.5731707
Falam,Falam,MMR004001,4310,0,0,26516.99548,30826.99548,26516.99548,52,36,54,11,13,4310,,,,7707,Not,52,36,54,11,13,,0,0,100,0.001879756,1045.14439,5534.001951,1597.792683,0,0,0,1045.14439,0,0,0,5534.001951,0,0,0,1597.792683
Falam,Tedim,MMR004004,0,0,0,52711.90501,52711.90501,52711.90501,52,36,54,11,13,0,,,,13178,Not,52,36,54,11,13,,0,0,100,0.003214146,1787.065366,9462.446829,2732.02439,0,0,0,1787.065366,0,0,0,9462.446829,0,0,0,2732.02439
Falam,Tonzang,MMR004005,0,0,0,19177.04379,19177.04379,19177.04379,52,36,54,11,13,0,,,,5000,Not,52,36,54,11,13,,0,0,100,0.001219512,678.0487805,3590.243902,1036.585366,0,0,0,678.0487805,0,0,0,3590.243902,0,0,0,1036.585366
Hakha,Hakha,MMR004002,255,0,0,28945.11891,29200.11891,28945.11891,52,36,54,11,13,255,,,,20000,Not,52,36,54,11,13,,0,0,100,0.004878049,2712.195122,14360.97561,4146.341463,0,0,0,2712.195122,0,0,0,14360.97561,0,0,0,4146.341463
Hakha,Thantlang,MMR004003,1394,0,0,29525.94384,30919.94384,29525.94384,52,36,54,11,13,1394,,,,7730,Not,52,36,54,11,13,,0,0,100,0.001885366,1048.263415,5550.517073,1602.560976,0,0,0,1048.263415,0,0,0,5550.517073,0,0,0,1602.560976
Matupi,Matupi,MMR004007,0,0,0,30891.53572,30891.53572,30891.53572,52,36,54,11,13,0,,,,7723,Not,52,36,54,11,13,,0,0,100,0.001883659,1047.314146,5545.490732,1601.109756,0,0,0,1047.314146,0,0,0,5545.490732,0,0,0,1601.109756
Matupi,Paletwa,MMR004009,9841,0,0,52893.48989,62734.48989,52893.48989,52,36,54,11,13,9841,,,,40000,Not,52,36,54,11,13,,0,0,100,0.009756098,5424.390244,28721.95122,8292.682927,0,0,0,5424.390244,0,0,0,28721.95122,0,0,0,8292.682927
